,coefficient1,coefficient2,layerName,name
0,23247.651676815,2767.9235277708,DefaultInvCost,c1_Platform_Cogen_ORC_ORC_40
1,31965.521055621,3131.168085221,DefaultInvCost,c1_Platform_Cogen_ORC_ORC_60
2,37050.944859924,3167.4925409661,DefaultInvCost,c1_Platform_Cogen_ORC_ORC_80
3,45042.325123829,3080.313847178,DefaultInvCost,c1_Platform_Cogen_ORC_ORC_150
4,39956.901319526,3152.962758668,DefaultInvCost,c1_Platform_Cogen_ORC_ORC_100
5,43589.346894028,3094.843629476,DefaultInvCost,c1_Platform_Cogen_ORC_ORC_140
6,42136.368664227,3131.168085221,DefaultInvCost,c1_Platform_Cogen_ORC_ORC_120
7,3500059.0175317,1826593.2997743,DefaultInvCost,c1_Platform_MEA_boiler_MEA_boiler
8,3500059.0175317,1826593.2997743,DefaultInvCost,c1_Platform_MEA_boiler_MEA_boiler_bio
9,3696937.3372678,634385.69692762,DefaultInvCost,c1_Platform_MEA_SMR_MEA_SMR
10,233440.4295302,2397556.4444668,DefaultInvCost,c1_Platform_HND_HDT_PSA_to_HDT
11,233440.4295302,10677844.085836,DefaultInvCost,c1_Platform_HND_HDT_SMRmembrane_to_HDT
12,233440.4295302,2397556.4444668,DefaultInvCost,c1_Platform_HND_HDT_SMRPSA_to_HDT
13,233440.4295302,10677844.085836,DefaultInvCost,c1_Platform_HND_HDT_membrane_to_HDT
14,233440.4295302,192911.13514748,DefaultInvCost,c1_Platform_HND_HDT_HDT_to_HDT
15,233440.4295302,2329054.8317677,DefaultInvCost,c1_Platform_HND_HDT_electrolysis_to_HDT
16,93717.095822161,1460.2431209499,DefaultInvCost,c1_Platform_Heatpump150_HP_60
17,84999.226443355,1394.8591006089,DefaultInvCost,c1_Platform_Heatpump150_HP_80
18,76281.35706455,1322.2101891189,DefaultInvCost,c1_Platform_Heatpump150_HP_100
19,102434.96520097,1540.156923589,DefaultInvCost,c1_Platform_Heatpump150_HP_40
20,67563.487685744,1249.5612776288,DefaultInvCost,c1_Platform_Heatpump150_HP_120
21,3696937.3372678,634385.69692762,DefaultInvCost,c1_Platform_MEA_SOFC_MEA_SOFC
22,3500059.0175317,1826593.2997743,DefaultInvCost,c1_Platform_MEA_GT_MEA_GT
23,3620373.5462593,929703.17653185,DefaultInvCost,c1_Platform_MEA_FCC_MEA_FCC
24,233440.4295302,933596.30179356,DefaultInvCost,c1_Platform_HND_PSA_CRU_to_PSA
25,233440.4295302,3877.1315436242,DefaultInvCost,c1_Platform_HND_ISOM_membrane_to_ISOM
26,233440.4295302,8523211.8626151,DefaultInvCost,c1_Platform_HND_ISOM_SMRmembrane_to_ISOM
27,233440.4295302,116585.22568904,DefaultInvCost,c1_Platform_HND_ISOM_ISOM_to_ISOM
28,233440.4295302,5077911.7520944,DefaultInvCost,c1_Platform_HND_HDS_PSA_to_HDS
29,233440.4295302,13086621.542911,DefaultInvCost,c1_Platform_HND_HDS_SMRmembrane_to_HDS
30,233440.4295302,13086621.542911,DefaultInvCost,c1_Platform_HND_HDS_membrane_to_HDS
31,233440.4295302,5077911.7520944,DefaultInvCost,c1_Platform_HND_HDS_SMRPSA_to_HDS
32,233440.4295302,130227.76930068,DefaultInvCost,c1_Platform_HND_HDS_HDS_to_HDS
33,233440.4295302,4932828.5591775,DefaultInvCost,c1_Platform_HND_HDS_electrolysis_to_HDS
34,233440.4295302,181398.57387226,DefaultInvCost,c1_Platform_HND_HCR_HCR_to_HCR
35,233440.4295302,9617598.379441,DefaultInvCost,c1_Platform_HND_HCR_PSA_to_HCR
36,233440.4295302,9617598.379441,DefaultInvCost,c1_Platform_HND_HCR_SMRPSA_to_HCR
37,233440.4295302,9342809.8543141,DefaultInvCost,c1_Platform_HND_HCR_electrolysis_to_HCR
38,233440.4295302,17166339.921672,DefaultInvCost,c1_Platform_HND_HCR_SMRmembrane_to_HCR
39,233440.4295302,17166339.921672,DefaultInvCost,c1_Platform_HND_HCR_membrane_to_HCR
40,79461.086804563,54.033539027103,DefaultInvCost,c1_Platform_Market_electricity_SN
41,63204.552996341,1213.2368218838,DefaultInvCost,c1_Platform_Heatpump120_HP_100
42,92264.11759236,1445.7133386519,DefaultInvCost,c1_Platform_Heatpump120_HP_40
43,82819.759098654,1373.0644271619,DefaultInvCost,c1_Platform_Heatpump120_HP_60
44,73375.400604948,1300.4155156718,DefaultInvCost,c1_Platform_Heatpump120_HP_80
45,0.0,3892950.3751921,DefaultInvCost,c1_Platform_HND_Membrane_membrane_high
56,0.0,528927.21893062,DefaultInvCost,c1_Platform_H2_SMR_SMR_membrane
57,0.0,516472.7339856,DefaultInvCost,c1_Platform_CO2_liquefication_CO2_liquification_bio
58,0.0,516472.7339856,DefaultInvCost,c1_Platform_CO2_liquefication_CO2_liquification
65,0.0,31676.359736372,DefaultInvCost,c1_Platform_Boiler_elec_el_Furnace
71,0.0,4468914.0423598,DefaultInvCost,c1_Platform_H2_AEC_AEC
72,0.0,413491.6944497,DefaultInvCost,c1_Platform_Boiler_NG_Oxy_ASU
73,0.0,4304537.631535,DefaultInvCost,c1_Platform_Boiler_NG_Oxy_NG_Furnace_Oxy_purification
74,0.0,4304537.631535,DefaultInvCost,c1_Platform_Boiler_NG_Oxy_FCC_Furnace_Oxy_purification
75,0.0,45426.600735842,DefaultInvCost,c1_Platform_Boiler_NG_Oxy_NG_Furnace_Oxy
79,0.0,11181833.394217,DefaultInvCost,c1_Platform_HND_PSA_PSA_high
97,0.0,6962241.0842861,DefaultInvCost,c1_Platform_H2_PEM_PEM
98,0.0,6712566.3599231,DefaultInvCost,c1_Platform_H2_SOEC_SOEC_medium
99,0.0,6712566.3599231,DefaultInvCost,c1_Platform_H2_SOEC_SOEC_high
100,0.0,6712566.3599231,DefaultInvCost,c1_Platform_H2_SOEC_SOEC_low
101,0.0,424792.60077905,DefaultInvCost,c1_Platform_Cogen_SOFC_SOFC_CH4
102,0.0,424792.60077905,DefaultInvCost,c1_Platform_Cogen_SOFC_SOFC_H2
103,0.0,399600.0,DefaultInvCost,c1_Platform_Boiler_H2_hydrogen_Furnace1
104,0.0,12040.728256448,DefaultInvCost,c1_Platform_Cogen_GT_Cogen
