,count
c1_Platform_Cogen_GT_Cogen,3
c1_Platform_Boiler_NG_Oxy_ASU,3
c1_Platform_Boiler_NG_Oxy_NG_Furnace_Oxy,3
c1_Platform_HND_HDT_SMRmembrane_to_HDT,2
c1_Platform_HND_HDT_PSA_to_HDT,2
c1_Platform_Heatpump120_HP_80,2
c1_Platform_Heatpump120_HP_60,2
c1_Platform_Heatpump120_HP_40,2
c1_Platform_Heatpump120_HP_100,2
c1_Platform_HND_Membrane_membrane_high,2
c1_Platform_HND_HDT_membrane_to_HDT,2
c1_Platform_Boiler_H2_hydrogen_Furnace1,2
c1_Platform_Cogen_SOFC_SOFC_H2,2
c1_Platform_Cogen_SOFC_SOFC_CH4,2
c1_Platform_H2_SOEC_SOEC_low,2
c1_Platform_H2_SOEC_SOEC_high,2
c1_Platform_HND_HDT_SMRPSA_to_HDT,2
c1_Platform_HND_HDT_HDT_to_HDT,2
c1_Platform_Cogen_ORC_ORC_40,2
c1_Platform_HND_HDS_electrolysis_to_HDS,2
c1_Platform_HND_HCR_membrane_to_HCR,2
c1_Platform_HND_HCR_SMRmembrane_to_HCR,2
c1_Platform_HND_HCR_electrolysis_to_HCR,2
c1_Platform_HND_HCR_SMRPSA_to_HCR,2
c1_Platform_HND_HCR_PSA_to_HCR,2
c1_Platform_HND_HCR_HCR_to_HCR,2
c1_Platform_HND_HDS_HDS_to_HDS,2
c1_Platform_HND_HDT_electrolysis_to_HDT,2
c1_Platform_HND_HDS_SMRPSA_to_HDS,2
c1_Platform_HND_HDS_membrane_to_HDS,2
c1_Platform_HND_HDS_SMRmembrane_to_HDS,2
c1_Platform_HND_HDS_PSA_to_HDS,2
c1_Platform_HND_ISOM_ISOM_to_ISOM,2
c1_Platform_HND_ISOM_SMRmembrane_to_ISOM,2
c1_Platform_H2_SOEC_SOEC_medium,2
c1_Platform_H2_PEM_PEM,2
c1_Platform_Market_electricity_SN,2
c1_Platform_Cogen_ORC_ORC_100,2
c1_Platform_Cogen_ORC_ORC_120,2
c1_Platform_MEA_boiler_MEA_boiler,2
c1_Platform_MEA_boiler_MEA_boiler_bio,2
c1_Platform_MEA_SMR_MEA_SMR,2
c1_Platform_Cogen_ORC_ORC_150,2
c1_Platform_CO2_liquefication_CO2_liquification_bio,2
c1_Platform_CO2_liquefication_CO2_liquification,2
c1_Platform_Boiler_elec_el_Furnace,2
c1_Platform_Heatpump150_HP_60,2
c1_Platform_Cogen_ORC_ORC_80,2
c1_Platform_Market_Market_electricity,2
c1_Platform_Heatpump150_HP_80,2
c1_Platform_Heatpump150_HP_100,2
c1_Platform_Heatpump150_HP_40,2
c1_Platform_Heatpump150_HP_120,2
c1_Platform_Resource_Elec_buy,2
c1_Platform_Resource_Resource_Naturalgas,2
c1_Platform_Cogen_ORC_ORC_60,2
c1_Platform_H2_AEC_AEC,2
c1_Platform_Boiler_NG_Oxy_NG_Furnace_Oxy_purification,2
c1_Platform_Boiler_NG_Oxy_FCC_Furnace_Oxy_purification,2
c1_Platform_MEA_SOFC_MEA_SOFC,2
c1_Platform_MEA_GT_MEA_GT,2
c1_Platform_MEA_FCC_MEA_FCC,2
c1_Platform_HND_PSA_PSA_high,2
c1_Platform_Cogen_ORC_ORC_140,2
c1_Platform_HND_PSA_CRU_to_PSA,1
c1_Platform_HND_ISOM_membrane_to_ISOM,1
c1_Platform_CC_atmosphere_sink_CO2110bar_bio,1
c1_Platform_H2_SMR_SMR,1
c1_Platform_CC_atmosphere_sink_scope1,1
c1_Platform_Resource_Resource_Water,1
c1_Platform_Resource_Resource_Naturalgas_bio,1
c1_Platform_Resource_Resource_Ammonia,1
c1_Platform_H2_SMR_SMR_membrane,1
